"","C245PW0","childid"
"588",0,"0040010C"
"589",515.89,"0040011C"
"590",176.67,"0040012C"
"591",436.87,"0040013C"
"592",0,"0040014C"
"593",209.96,"0040015C"
"594",233.72,"0040016C"
"595",155.3,"0040017C"
"596",571.76,"0040018C"
"597",146.99,"0040019C"
"598",161.24,"0040020C"
"599",267.29,"0040021C"
"600",152.07,"0040022C"
"601",233.72,"0040023C"
"602",205.59,"0040024C"
"603",NA,"0040025C"
"604",NA,"0040040C"
"605",NA,"0040041C"
"606",NA,"0040042C"
"607",NA,"0040043C"
"608",NA,"0040044C"
"609",0,"0041001C"
"610",148.58,"0041002C"
"611",0,"0041003C"
"612",128.09,"0041004C"
"613",127.77,"0041005C"
"614",223.6,"0041006C"
"615",127.77,"0041007C"
"616",162.92,"0041008C"
"617",123.07,"0041009C"
"618",123.47,"0041010C"
"619",0,"0041011C"
"620",123.07,"0041012C"
"621",515.45,"0041013C"
"622",120.92,"0041014C"
"623",0,"0041015C"
"624",0,"0042001C"
"625",306.42,"0042002C"
"626",94.09,"0042003C"
"627",168.51,"0042004C"
"628",0,"0042005C"
"629",119.61,"0042006C"
"630",NA,"0042007C"
"631",NA,"0042008C"
"632",0,"0042009C"
"633",257.37,"0042010C"
"634",265.68,"0042011C"
"635",266.54,"0042012C"
"636",NA,"0042013C"
"637",321.53,"0042014C"
"638",NA,"0042015C"
"639",220.14,"0042016C"
"640",NA,"0042017C"
"641",0,"0042018C"
"642",359.18,"0042019C"
"643",NA,"0042020C"
"644",NA,"0042021C"
"645",0,"0042022C"
"646",360.34,"0042023C"
"647",NA,"0042024C"
"648",0,"0043001C"
"649",0,"0043002C"
"650",282.25,"0043003C"
"651",757.24,"0043004C"
"652",0,"0043005C"
"653",236.73,"0043006C"
"654",279.89,"0043007C"
"655",385.14,"0043008C"
"656",925.02,"0043009C"
"657",0,"0043010C"
"658",279.89,"0043011C"
"659",0,"0043012C"
"660",246.33,"0043013C"
"661",271.87,"0043014C"
"662",1118.23,"0043015C"
"663",261.03,"0043016C"
"664",358.31,"0043017C"
"665",266.21,"0043018C"
"666",378.58,"0043019C"
"667",926.15,"0043020C"
"668",0,"0043021C"
"669",0,"0043022C"
"670",936.15,"0043023C"
"671",939.18,"0043024C"
"672",NA,"0043040C"
"673",NA,"0043041C"
"674",0,"0044001C"
"675",250.01,"0044002C"
"676",250.01,"0044004C"
"677",255.32,"0044005C"
"678",250.01,"0044006C"
"679",255.32,"0044007C"
"680",299.4,"0044008C"
"681",0,"0044009C"
"682",269.07,"0044010C"
"683",271.31,"0044011C"
"684",0,"0044012C"
"685",271.34,"0044013C"
"686",0,"0044014C"
"687",826.27,"0044015C"
"688",255.32,"0044016C"
"689",255.32,"0044017C"
"690",1134.67,"0044018C"
"691",0,"0044020C"
"692",0,"0044021C"
"693",265.07,"0044022C"
"694",260.71,"0044023C"
"695",67.78,"0045001C"
"696",0,"0045002C"
"697",122.44,"0045003C"
"698",115.21,"0045004C"
"699",119.9,"0045005C"
"700",129.54,"0045006C"
"701",363.92,"0045007C"
"702",132.29,"0045008C"
"703",119.9,"0045009C"
"704",115.21,"0045010C"
"705",135.1,"0045011C"
"706",132.71,"0045013C"
"707",115.21,"0045014C"
"708",112.82,"0045015C"
"709",371.65,"0045016C"
"710",112.82,"0045017C"
"711",155.24,"0045018C"
"712",122.44,"0045019C"
"713",112.82,"0045020C"
"714",115.21,"0045021C"
"715",115.59,"0045022C"
"716",410.06,"0045023C"
"717",115.2,"0045024C"
"718",NA,"0045040C"
"719",218.22,"0046001C"
"720",161.41,"0046002C"
"721",149.59,"0046003C"
"722",NA,"0046004C"
"723",NA,"0046005C"
"724",0,"0046006C"
"725",NA,"0046007C"
"726",NA,"0046008C"
"727",202.24,"0046009C"
"728",NA,"0046010C"
"729",148.8,"0046011C"
"730",156.37,"0046012C"
"731",NA,"0046013C"
"732",NA,"0046014C"
"733",NA,"0046016C"
"734",NA,"0046017C"
"735",0,"0046018C"
"736",NA,"0046019C"
"737",NA,"0046020C"
"738",NA,"0046021C"
"739",NA,"0046022C"
"740",163.48,"0046023C"
"741",NA,"0046024C"
"742",NA,"0047001C"
"743",NA,"0047002C"
"744",NA,"0047003C"
"745",243.31,"0047004C"
"746",NA,"0047005C"
"747",269.65,"0047006C"
"748",257.97,"0047007C"
"749",249.29,"0047008C"
"750",248.48,"0047009C"
"751",0,"0047011C"
"752",248.48,"0047014C"
"753",264.07,"0047015C"
"754",355.82,"0047016C"
"755",285.32,"0047017C"
"756",292.33,"0047018C"
"757",0,"0047019C"
"758",0,"0047020C"
"759",264.07,"0047021C"
"760",285.32,"0047022C"
"761",258.58,"0047024C"
"762",NA,"0048001C"
"763",NA,"0048002C"
"764",NA,"0048003C"
"765",NA,"0048004C"
"766",NA,"0048005C"
"767",0,"0049001C"
"768",218.39,"0049002C"
"769",0,"0049003C"
"770",1208.19,"0049005C"
"771",0,"0049006C"
"772",329.43,"0049007C"
"773",222.29,"0049008C"
"774",0,"0049009C"
"775",0,"0049010C"
"776",1032.68,"0049012C"
